IDENT,NEAREST_WX
ADUKE,OCH
AGAIN,MNZ
AKUNA,GYI
APACH,LAW
ARDIA,INJ
ARMOR,OCH
AXXEE,MLC
BDDAY,ASL
BEREE,CRS
BILEE,CLL
BLECO,GLE
BRDJE,GVT
BROBB,JWY
BSKAT,TXK
CAINE,GYI
CHMLI,HHW
CHMPZ,DFW
CISAR,CDH
CLEWS,JSO
CRIED,PSN
CRUTH,GLE
DARRB,DFW
DARTZ,INJ
DBLSS,RPH
DEEPS,SEP
DHART,ELD
DIRRK,TXK
DOBIS,SHV
DOLEY,CRS
DUMPS,LBB
DWINE,MLC
EAKER,AQR
EGADS,MNZ
ELLVR,ACT
ETICO,SWW
FAWNT,1F0
FDUBB,MNZ
FERRA,XBP
FEWWW,DEQ
FIATT,CRS
FORCK,TXK
FOURE,RFI
FRSTI,ACT
GHOST,CHK
GIBLT,SEP
GIFFA,JSO
GRABE,GLE
HANUH,TRL
HAPNS,PSN
HARES,MLU
HAWES,ELD
HLIZZ,JWY
HNKER,CDS
HOWDY,LNC
HRPER,F05
HUDAD,LTS
INDIE,OCH
JASPA,INJ
JAYXX,GVT
JJANE,TRL
JOJOX,CDH
KAMEN,RSN
KATZZ,ABI
KIILO,SEP
KWANA,F05
KYSSS,ACT
LIKES,GDJ
LOOSE,CDH
LOWGN,GLE
LURIC,OCH
LYING,GVT
LYNDE,MWL
MDANO,LTS
MEEOW,HOT
MINGG,ADH
MODNE,RPH
MRSSH,JXI
MUDDE,OUN
MUZZY,F44
NELYN,DFW
NNUUH,ETN
NOBBL,IER
OUTLN,F44
PGLET,XBP
PLMER,TRL
PNUTS,IER
POPSY,TYR
PUDJE,MLU
PUNKY,ACT
RBBIT,GDJ
RBUKL,GLE
ROLLS,ELK
RRNET,MLC
RUBBR,HHW
RUFFS,MWL
SEEVR,GYI
SNGGL,BKD
STRYA,LFK
SWDIA,SLR
SWEUP,RSN
TORNN,ACT
TRRCH,TRL
TURKI,PVW
TYGGR,MWL
UCOKA,SJT
VAAMP,1F0
VKTRY,XBP
WERMO,MNZ
WINDU,ACT
WUUKY,CRS
YUYUN,MLU
